Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_004_testProfiles,Chrome 85.0.4183.121,,,2020-10-11 19:41:48,2020-10-11 19:42:29,41.472s,PASSED
,,,,,,,
Test Cases/TC03_passNull,Chrome 85.0.4183.121,,,2020-10-11 19:41:48,2020-10-11 19:41:57,8.521s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-11 19:41:49,2020-10-11 19:41:51,1.836s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-10-11 19:41:51,2020-10-11 19:41:53,2.595s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-11 19:41:53,2020-10-11 19:41:54,0.940s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""), UsernameQA)",Chrome 85.0.4183.121,,,2020-10-11 19:41:54,2020-10-11 19:41:55,0.895s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-10-11 19:41:55,2020-10-11 19:41:56,1.089s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-10-11 19:41:56,2020-10-11 19:41:56,0.319s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-10-11 19:41:56,2020-10-11 19:41:57,0.311s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-10-11 19:41:57,2020-10-11 19:41:57,0.086s,PASSED
,,,,,,,
Test Cases/TC02_userNull,Chrome 85.0.4183.121,,,2020-10-11 19:41:57,2020-10-11 19:42:04,7.538s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-11 19:41:57,2020-10-11 19:41:58,0.630s,PASSED
navigateToUrl(URL),Chrome 85.0.4183.121,,,2020-10-11 19:41:58,2020-10-11 19:42:01,3.229s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-11 19:42:01,2020-10-11 19:42:02,0.859s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Password_password""), PassQA)",Chrome 85.0.4183.121,,,2020-10-11 19:42:02,2020-10-11 19:42:02,0.731s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-10-11 19:42:02,2020-10-11 19:42:03,1.069s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-10-11 19:42:03,2020-10-11 19:42:04,0.405s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-10-11 19:42:04,2020-10-11 19:42:04,0.335s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-10-11 19:42:04,2020-10-11 19:42:04,0.076s,PASSED
,,,,,,,
Test Cases/TC05_userPassFail,Chrome 85.0.4183.121,,,2020-10-11 19:42:04,2020-10-11 19:42:15,10.689s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-11 19:42:04,2020-10-11 19:42:05,0.647s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-10-11 19:42:05,2020-10-11 19:42:10,5.014s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-11 19:42:10,2020-10-11 19:42:11,0.878s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""), UsernameFail)",Chrome 85.0.4183.121,,,2020-10-11 19:42:11,2020-10-11 19:42:12,1.404s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Password_password""), PassFail)",Chrome 85.0.4183.121,,,2020-10-11 19:42:12,2020-10-11 19:42:13,0.756s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-10-11 19:42:13,2020-10-11 19:42:14,1.078s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Please login to make appointment""), 30)",Chrome 85.0.4183.121,,,2020-10-11 19:42:14,2020-10-11 19:42:15,0.386s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Please login to make appointment""), ""Please login to make appointment."")",Chrome 85.0.4183.121,,,2020-10-11 19:42:15,2020-10-11 19:42:15,0.300s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-10-11 19:42:15,2020-10-11 19:42:15,0.083s,PASSED
,,,,,,,
Test Cases/TC04_succ,Chrome 85.0.4183.121,,,2020-10-11 19:42:15,2020-10-11 19:42:23,7.693s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-11 19:42:15,2020-10-11 19:42:16,0.625s,PASSED
navigateToUrl(URL),Chrome 85.0.4183.121,,,2020-10-11 19:42:16,2020-10-11 19:42:19,2.795s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-11 19:42:19,2020-10-11 19:42:19,0.886s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""), UsernameQA)",Chrome 85.0.4183.121,,,2020-10-11 19:42:19,2020-10-11 19:42:20,0.670s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Password_password""), PassQA)",Chrome 85.0.4183.121,,,2020-10-11 19:42:20,2020-10-11 19:42:21,0.707s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-10-11 19:42:21,2020-10-11 19:42:22,0.974s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/label_Facility""), 30)",Chrome 85.0.4183.121,,,2020-10-11 19:42:22,2020-10-11 19:42:22,0.481s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/label_Facility""), ""Facility"")",Chrome 85.0.4183.121,,,2020-10-11 19:42:22,2020-10-11 19:42:23,0.292s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-10-11 19:42:23,2020-10-11 19:42:23,0.076s,PASSED
,,,,,,,
Test Cases/TC01_null,Chrome 85.0.4183.121,,,2020-10-11 19:42:23,2020-10-11 19:42:29,6.689s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-11 19:42:23,2020-10-11 19:42:24,0.720s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-10-11 19:42:24,2020-10-11 19:42:27,3.034s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-11 19:42:27,2020-10-11 19:42:27,0.856s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-10-11 19:42:27,2020-10-11 19:42:29,1.173s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-10-11 19:42:29,2020-10-11 19:42:29,0.390s,PASSED
"verifyElementText(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-10-11 19:42:29,2020-10-11 19:42:29,0.312s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-10-11 19:42:29,2020-10-11 19:42:29,0.079s,PASSED
